,title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3
10,"
                            WE HELP RENTERS WITH POOR CREDIT SCORES
                        ",", Etobicoke M9W 2M2 ON, Canada",Apartment,2089,1,1,43.7298678,-79.5731624,0,1,1,1,1,1,1,715,0,0,35,57,52,,,
11,"
                            Renting 1 Bedroom Basement w/ Separate Entrance - Available now
                        ","55 Lynnhaven Rd, North York, ON M6A 2K7, Canada",Basement,1150,1,1,43.7213058,-79.4395997,1,1,1,1,1,0,0,50,0,1,39,83,57,https://i.ebayimg.com/00/s/NjM3WDYwNw==/z/9xwAAOSw0QRfC85U/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/fxoAAOSwyZFfC85j/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/UTIAAOSw0ctfC85p/$_2.JPG
12,"
                            Beautiful 3 bedroom basement apart Scarborough
                        ","Dignam Ct, Toronto, ON M1J, Canada",Basement,2000,3,15,43.753822,-79.24335,1,1,1,1,1,1,0,"1,300",0,1,48,59,56,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/N9UAAOSw0nFfC84D/$_27.PNG,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/J3YAAOSwh7RfC84J/$_2.PNG,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/cOEAAOSwgbdfC84O/$_2.PNG
13,"
                            Beautiful 3 bedroom basement apart Scarborough
                        ","Dignam Ct, Toronto, ON M1J, Canada",Basement,2000,3,15,43.753822,-79.24335,1,1,1,1,1,1,0,"1,300",0,1,48,59,56,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/N9UAAOSw0nFfC84D/$_27.PNG,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/J3YAAOSwh7RfC84J/$_2.PNG,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/cOEAAOSwgbdfC84O/$_2.PNG
14,"
                            Room for rent 3rd floor, 15 mins to Victoria Park station
                        ","1481 Kingston Rd, Scarborough, ON M1N 1R5, Canada",Apartment,650,2.5,1,43.6884433,-79.2694973,1,1,1,1,1,0,0,128,1,0,39,65,63,https://i.ebayimg.com/00/s/MzAwWDgwMA==/z/LaQAAOSwJrpfC8yu/$_27.JPG,https://i.ebayimg.com/00/s/MzkwWDgwMA==/z/HZ4AAOSw3tZfC8y7/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/3hAAAOSwqi9fC8zN/$_2.JPG
15,"
                            Basement apartment for rent, 1 brm, St Clair Ave W,  Utls inc. 
                        ","M6E 4P3, Canada",Basement,1500,1,1,43.6792095,-79.4547427,1,1,1,1,0,0,0,750,0,1,79,75,71,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zboAAOSw69hfC8wd/$_27.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FWcAAOSw1H1fC8we/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/-MEAAOSw0fJfC8wf/$_2.JPG
16,"
                            One plus full den Condo in Historical Downtown Toronto
                        ","222 The Esplanade, Toronto, ON M5A 4M8, Canada",Condo,2250,1 + Den,1,43.6495697,-79.365222,1,1,1,1,0,0,1,595,0,1,94,97,99,https://i.ebayimg.com/00/s/NTk5WDgwMA==/z/BVEAAOSwQX1fC8nC/$_27.JPG,https://i.ebayimg.com/00/s/NTc0WDgwMA==/z/KgcAAOSwWFlfC8nG/$_2.JPG,https://i.ebayimg.com/00/s/NTc0WDgwMA==/z/qwwAAOSw8a5fC8nN/$_2.JPG
17,"
                            1  Bdrm+Den ( Keele and 401)
                        ","Macleod St, Toronto, ON M6L 2M6, Canada",House,1550,1.5,1,43.7166,-79.47812,1,1,1,1,0,1,0,700,0,1,15,67,23,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/GwcAAOSwa09fC8ed/$_27.PNG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/~7oAAOSw6xtfC8ee/$_2.PNG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/6mgAAOSwutFfC8ef/$_2.PNG
18,"
                            Two bedroom plus den condo at 12 Yonge St!
                        ","12 Yonge St, Toronto, ON M5E 1Z9, Canada",Condo,3100,2.5,2,43.6431189,-79.3757857,0,0,0,1,1,1,1,800,0,1,89,10,86,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/t~oAAOSwyKBfC8Yh/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDcyMA==/z/8MoAAOSw0m1fC8Yn/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/F1EAAOSwcNpfC8Yw/$_2.JPG
19,"
                            Beautiful 3 bedroom apartment, 3 decks, AC
                        ","73 Gladstone Ave, M6K2N1, Toronto, ON",Apartment,3600,3,2,43.6447277,-79.4277515,0,0,1,1,1,2,0,"1,600",0,1,89,88,87,https://i.ebayimg.com/00/s/ODAwWDY1MQ==/z/FtEAAOSwcYFfC8TX/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/-doAAOSwbOBfC8Tc/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/b3MAAOSw4UtfC8VG/$_2.JPG
20,"
                            newly renovated 1 bedroom apartment
                        ","807 Ossington Ave, Toronto, ON M6G 3T8, Canada",Apartment,1250,1,1,43.6640097,-79.4262198,1,1,1,1,1,1,0,400,0,1,87,84,68,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/j~cAAOSw8OVfC8PN/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/c6oAAOSwuB5fC8PF/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/2rUAAOSwQE9fC8PH/$_2.JPG
21,"
                            Annex-1 bedroom apartment.  Available September 1
                        ",", M5R1W6, Toronto, ON",Apartment,2300,1,1,43.6733994,-79.4138576,1,1,1,1,1,0,0,750,0,1,85,89,86,https://i.ebayimg.com/00/s/Nzc0WDgwMA==/z/e7MAAOSwne5fC8Hc/$_27.JPG,https://i.ebayimg.com/00/s/NzUxWDgwMA==/z/t78AAOSwi0BfC8IP/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/CbgAAOSwue1fC8FT/$_2.JPG
22,"
                            1 bedroom basement apartment (newly renovated)
                        ","656 Crawford St, Toronto, ON M6G 3K2, Canada",Apartment,1450,1,1,43.6609134,-79.4215375,0,1,1,1,1,1,0,500,0,1,71,86,10,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/WigAAOSwTnhfC8KL/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/JnsAAOSwsZNfC8KO/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/cOcAAOSwZIBfC8KQ/$_2.JPG
23,"
                            1 bedroom basement apartment
                        ","656 Crawford St, Toronto, ON M6G 3K2, Canada",Basement,1450,1 + Den,1,43.6609134,-79.4215375,0,1,1,1,1,1,0,500,0,1,71,86,10,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/MBIAAOSwi-BfC8D3/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/54QAAOSwdzdfC8D6/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/13AAAOSwX1pfC8EA/$_2.JPG
24,"
                            newly renovated 1 bedroom basement
                        ","807 Ossington Ave, Toronto, ON M6G 3T8, Canada",Basement,1250,1,1,43.6640097,-79.4262198,1,1,0,1,1,1,0,500,0,1,87,84,68,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/v6wAAOSwkflfC7-m/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/SocAAOSwsdpfC7-d/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/ABIAAOSwkVRfC7-g/$_2.JPG
25,"
                            1BEDROOM  - BAY STREET - 499 SQ FT -2208 - IMMEDIATE  MOVE IN
                        ","925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2075,1,1,43.6641656,-79.3867054,0,1,1,1,1,0,1,499,0,1,98,95,75,https://i.ebayimg.com/00/s/MTYwMFgxMjM1/z/g2YAAOSwepNe5JbA/$_27.JPG,https://i.ebayimg.com/00/s/MTgwWDE4MA==/z/uisAAOSwpsle5Ja~/$_2.JPG,https://i.ebayimg.com/00/s/MTUwMFgxMjAw/z/Md0AAOSwV49e5JbD/$_2.JPG
26,"
                            LARGE 1 bedroom - 645 sq ft - Bay Street -410  MOVE IN IMMEDIATE
                        ","925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2306,1,1,43.6641656,-79.3867054,0,1,0,1,1,0,1,645,0,1,98,95,75,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/w8AAAOSw0rVe5JbB/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/u70AAOSweRVe5JbA/$_2.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/fmEAAOSw3hBe5JbB/$_2.JPG
27,"
                            2B2B - MID AUGUST MOVE IN - 2304 -BAY AND WELLESLEY
                        ","925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2560,2,2,43.6641656,-79.3867054,0,1,1,1,1,0,1,745,0,1,98,95,75,https://i.ebayimg.com/00/s/MTYwMFgxMjMx/z/flAAAOSwmCZe5JbA/$_27.JPG,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/nyEAAOSwsrBe5JbG/$_2.JPG,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/9-sAAOSww2he5JbG/$_2.JPG
28,"
                            2 Bedroom + DEN - Almost like a 3BEDROOM -607- Bay and Wellesley
                        ","925 Bay Street, Toronto, ON, M5S 3L4",Apartment,3450,2 + Den,2,43.6641656,-79.3867054,0,1,1,1,0,0,1,"1,125",0,1,98,95,75,https://i.ebayimg.com/00/s/MTYwMFgxMjE5/z/ID8AAOSw7Rde5Ja9/$_27.JPG,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/sYcAAOSwWXNe5Ja7/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/ds8AAOSwLmxe5Ja7/$_2.JPG
29,"
                            2B2B - High Floor - 3003 - Bay Street/ Wellesley
                        ","925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2725,2,2,43.6641656,-79.3867054,0,1,0,1,1,0,1,818,0,1,98,95,75,https://i.ebayimg.com/00/s/MTYwMFgxMjc3/z/49UAAOSwW1Fe5Ja7/$_27.JPG,https://i.ebayimg.com/00/s/MTgwWDE4MA==/z/rdkAAOSwoZle5Ja5/$_2.JPG,https://i.ebayimg.com/00/s/MTUwMFgxMjAw/z/uGsAAOSwyB9e5Ja8/$_2.JPG
30,"
                            2Bedroom 2 Bath Unit on Bay Street - 1001- 886 SQ FT
                        ","925 Bay Street, Toronto, ON, M5S 3L4",Apartment,2862,2,2,43.6641656,-79.3867054,0,1,1,1,1,0,1,886,0,1,98,95,75,https://i.ebayimg.com/00/s/MTYwMFgxMjMw/z/WccAAOSw8nte5Ja7/$_27.JPG,https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/Fe8AAOSwnv9e5Ja6/$_2.JPG,https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/spcAAOSwhCle5Ja8/$_2.JPG
31,"
                            Jane & Lawrence Large Bright 1 BR Basement Apartment for rent
                        ","188 Wright Ave, M9N 3Z2, Toronto (York), ON",Basement,1350,1,1,43.7002806,-79.5062923,0,0,0,1,1,0,0,750,0,1,72,81,52,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/BdkAAOSwue1fC7ir/$_27.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/fQoAAOSwEKxfC7jA/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/ik0AAOSw8OVfC7j~/$_2.JPG
32,"
                            GOOD TENANT BUT HAVE LOW CREDIT
                        ",", scarborough M1B 0A9 ON, Canada",Apartment,2099,1,1,43.8075064,-79.1797191,0,1,1,1,1,1,1,700,0,1,15,59,53,,,
33,"
                            SECURE AN APARTMENT WITH LOW CREDIT AND REMAIN STRESS-FREE
                        ",", scarborough M1B 1A1 ON, Canada",Apartment,2041,1,1,43.7972624,-79.2273163,0,1,1,1,1,1,1,700,0,1,59,68,33,,,
34,"
                            Second Floor One Bed Room Apartment $1380
                        ","385 Albion Rd, Etobicoke, ON M9W 3P4, Canada",Apartment,1480,1,1,43.7256315,-79.5515348,0,1,1,0,0,1,0,600,0,1,35,64,58,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/XlkAAOSwowJfC7aM/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/KXwAAOSwuCdfC7ab/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/1ZsAAOSwmHRfC7an/$_2.JPG
35,"
                            Avenue Road and St.clair 1 Bed 1 Bath 750 Sq Ft Large Balcony
                        ","484 Avenue Rd, Toronto, ON M4V 2J4, Canada",Apartment,1900,1,1,43.687363,-79.4021659,0,1,1,1,1,0,0,750,0,0,80,83,64,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/HdMAAOSwJ6tfC7Yg/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ksAAAOSwHlVfC7Yj/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/rroAAOSweQVfC7Yn/$_2.JPG
0,"
                            ►►► 3 BR FRESHLY RENO’ed UNIT by the lake-Avail. now►►►
                        ","Lakeshore Blvd West/ Kipling Ave, Canada",Apartment,2299,3,1,43.5982045,-79.5169695,0,0,0,1,1,0,0,"1,500",0,1,68,65,79,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/dLMAAOSwHnxfC6m0/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/MRIAAOSwz~BfC6m2/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/RMAAAOSwG7FfC6m4/$_2.JPG
1,"
                            Large 2 Bdrm+Dufferin Subway/Mall - Avail Sep1
                        ",", Toronto M6H 4B7 ON, Canada",Apartment,1925,2,1,43.6641979,-79.4368082,1,1,1,1,1,0,0,850,0,1,82,85,80,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/oggAAOSwNGxfC6mV/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/tTgAAOSwkyRfC6md/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/SQEAAOSwoGpfC6mf/$_2.JPG
2,"
                            ►►► 1 BR Appartment by the lake-Avail. August 1 ►►►
                        ","Lakeshore Blvd West/ Kipling Ave, Canada",Apartment,1625,1,1,43.5982045,-79.5169695,0,0,0,1,1,0,0,850,0,1,68,65,79,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2VwAAOSwJyJfC6g6/$_27.JPG,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/yKIAAOSwYv5fC6g9/$_2.JPG,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/1cYAAOSwBbtfC6hB/$_2.JPG
3,"
                            COLLEGE/YONGE!!! NYC Brownstone!!! Heart of the City!!!
                        ","Sheard Street, M5B 1T1, Toronto, ON",Apartment,3750,4,2,43.6602923,-79.382021,1,1,1,1,1,0,0,"3,000",0,0,99,95,96,https://i.ebayimg.com/00/s/NDgwWDM2MA==/z/aYgAAOSwufRfC6h5/$_27.JPG,https://i.ebayimg.com/00/s/MjgwWDQzMQ==/z/1qkAAOSwzTtfC6h7/$_2.JPG,https://i.ebayimg.com/00/s/NDA4WDMwNg==/z/aF0AAOSwGGVfC6h9/$_2.JPG
4,"
                            5 bedrooms, only 2950 $, near TTC, subway, downtown, 4/3/2 br
                        ","10 Eddystone Ave, North York, ON M3N 2T2, Canada",Apartment,2950,5+,2,43.7494371,-79.5168481,0,1,1,1,1,1,0,"1,200",0,0,52,69,66,https://i.ebayimg.com/00/s/NTA2WDY3Mg==/z/C2wAAOSwiwpfC6eA/$_27.JPG,https://i.ebayimg.com/00/s/NTA3WDY3Mw==/z/2VkAAOSw9GRfC6eK/$_2.JPG,https://i.ebayimg.com/00/s/NTA2WDY3MA==/z/Zy8AAOSwZYlfC6eV/$_2.JPG
5,"
                            STUDIO/BACHELOR available located in heart of downtown Toronto
                        ",", Toronto m5g 0b2 ON, Canada",Apartment,1925,Bachelor/Studio,1,43.6551421,-79.3838222,0,0,0,1,1,0,1,415,1,1,99,99,75,https://i.ebayimg.com/00/s/NDIzWDQyNQ==/z/5nYAAOSwV4RfC6Vw/$_27.JPG,https://i.ebayimg.com/00/s/NDIyWDQxNg==/z/49IAAOSwbu1fC6WL/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/g2QAAOSwGQNfC6UN/$_2.JPG
6,"
                            BEACONSFIELD VILLAGE 3 BEDROOM WITH BACKYARD 1ST FLOOR
                        ","151 Dovercourt Rd, Toronto, ON M6J 3C5, Canada",Apartment,2850,3,1,43.6452796,-79.4227916,0,0,1,0,1,0,0,"1,100",0,0,84,88,87,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/LckAAOSwz~BfC6Md/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/QGoAAOSwrVpfC6P7/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/aegAAOSwDH1fC6Qa/$_2.JPG
7,"
                            Bachelor apartment in the basement
                        ",", m2r2k5, North York, ON",Apartment,950,1,1,43.7828035,-79.438215,1,1,1,1,0,0,0,200,1,1,29,64,59,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/41IAAOSwKuxfC6Sj/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/ttwAAOSwwkVfC6Sv/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/rDYAAOSw0itfC6TF/$_2.JPG
8,"
                            Two Bedroom  1st Aug /University of Toronto/ Kensington Markt
                        ","372 College St, Toronto, ON M5T 1S6, Canada",Apartment,1800,2,1,43.6571967,-79.4047955,0,1,1,1,0,0,0,1,0,0,94,93,99,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/BbEAAOSwcNpfC6M4/$_27.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/z0IAAOSwL3FfC6NS/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQ4MA==/z/SfgAAOSw8txfC6OD/$_2.JPG
9,"
                            Basement Unit 1 Bdrm @ Dufferin Mall/Subway @ Sep1
                        ",", Toronto M6H 4B7 ON, Canada",Apartment,1250,1,1,43.6641979,-79.4368082,1,1,1,1,1,0,0,750,0,1,82,85,80,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/VfcAAOSwYDVfC6SX/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/DCYAAOSwdblfC6SZ/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/Qo4AAOSwndRfC6Sb/$_2.JPG
10,"
                            Spacious Main Floor 2 Bdrm @ Christie Pits & Subway @ Sep 1st
                        ",", Toronto M6G 3B3 ON, Canada",Apartment,2345,2,1,43.6673358,-79.4195738,1,1,1,1,1,0,0,850,0,1,81,88,94,https://i.ebayimg.com/00/s/NjQwWDQyNA==/z/hosAAOSwF41fC6PE/$_27.JPG,https://i.ebayimg.com/00/s/NDI0WDY0MA==/z/5ooAAOSwovpfC6PC/$_2.JPG,https://i.ebayimg.com/00/s/NjQwWDQyNA==/z/T2QAAOSw26BfC6PG/$_2.JPG
11,"
                            1 BEDROOM APT (BASEMENT) IN 6 PLEX BLDG BROWNSLINE/LAKESHORE
                        ","Brown's Line, Toronto, ON M8W, Canada",Apartment,1490,1,1,43.6012292,-79.5450096,0,1,1,1,1,1,0,350,1,0,69,59,59,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/F2kAAOSwzlFfC51P/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/cY4AAOSwV~NfC51Z/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/7pYAAOSwFB9fC51l/$_2.JPG
12,"
                            Gorgeous Annex Sublet, 2 bed, 2 bath, August & September
                        ","175 Madison Avenue Unit 6, M5R 2S6, Toronto, ON",Apartment,3300,2,2,43.6736908,-79.40514,0,0,0,1,0,0,0,"1,500",0,1,92,94,75,https://i.ebayimg.com/00/s/NjAzWDgwMA==/z/Y40AAOSwGGVfC5yx/$_27.JPG,https://i.ebayimg.com/00/s/NTk2WDgwMA==/z/xogAAOSwmHRfC5y9/$_2.JPG,https://i.ebayimg.com/00/s/NjAxWDgwMA==/z/lBoAAOSwt1tfC5zX/$_2.JPG
13,"
                            Lovely bedroom in apartment available Aug 1st
                        ","1158 Weston Road, M6M4P4, Toronto, ON",Apartment,723,2,1,43.6871437,-79.4901709,1,1,1,1,0,1,0,600,1,1,53,70,55,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/ExsAAOSw8UxfC5xy/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/V6MAAOSwieFfC5xu/$_2.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/9HIAAOSwVRpfC5xg/$_2.JPG
14,"
                            1 BEDROOM APT IN 6 PLEX BLDG AT BROWNSLINE
                        ","WOODBURY ROAD, BROWNSLINE M8W 1X8 ON, Canada",Apartment,1590,1,1,43.5993108,-79.5441266,0,1,1,1,1,1,0,350,1,0,70,66,58,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/9G4AAOSwyY5fC5q3/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/~~MAAOSwWplfC5rc/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/cgUAAOSwktpfC5rh/$_2.JPG
15,"
                            1 BEDROOM VICTORIA PARK AND LAWRENCE
                        ",", M1R1T3, SCARBOROUGH, ON",Apartment,1500,1,1,43.7432452,-79.3097609,0,1,0,1,1,0,0,700,0,1,76,65,56,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/GwgAAOSwS1BfC5uo/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/cTcAAOSwubtfC5ur/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/yPMAAOSw6YlfC5uv/$_2.JPG
16,"
                            1 Bedroom Apt near Kingston rd & St.Clair for August 1st, 2020
                        ","Scarborough, ON M1M 1N3, Canada",Apartment,1425,1,1,43.722065,-79.23534,0,1,1,0,0,0,0,450,0,1,74,57,60,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/cVAAAOSwHnFfC5fe/$_27.PNG,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/D6oAAOSwRYZfC5ff/$_2.PNG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/8cYAAOSwKG1fC5fh/$_2.PNG
